Family,First,Last,Flips,Percentage
Rosso,stan,tractor,1,0.333333
Sceda,tractor,tractor,0,0
d'Albiola,tractor,tractor,0,0
Iantani,stan,stan,0,0
Pergaminer,tractor,tractor,0,0
"Lissado da Luprio",tractor,tractor,0,0
Centosoldi,stan,stan,0,0
Mastropetro,stan,stan,0,0
Rustico,stan,stan,0,0
"de Manzolo",tractor,tractor,0,0
Signolo,tractor,tractor,0,0
Voltani,stan,stan,0,0
Lanfranchi,tractor,tractor,0,0
Zordani,stan,stan,0,0
"de Suligo",tractor,tractor,0,0
Vitaliano,tractor,tractor,0,0
Bosio,stan,stan,0,0
Mangoni,stan,stan,0,0
Giacobbe,tractor,tractor,0,0
Zulian,tractor,tractor,0,0
Cavalerio,stan,stan,0,0
Mastroscoli,tractor,tractor,0,0
Roberto,stan,stan,0,0
Navigroso,stan,stan,0,0
Belli,tractor,tractor,0,0
Baseggio,tractor,stan,1,0.333333
Foscarini,tractor,stan,1,0.5
Civran,stan,stan,0,0
Barbetta,stan,stan,0,0
Arduini,stan,stan,0,0
Belegno,stan,tractor,1,0.333333
Bendolo,tractor,tractor,0,0
Zorzi,stan,stan,0,0
Michiel,stan,stan,6,0.4
Encio,stan,stan,0,0
Emo,tractor,tractor,0,0
Bonizzo,stan,stan,0,0
Zantani,tractor,stan,1,0.5
"da Tumba",stan,stan,0,0
Mastrorso,stan,stan,0,0
Anastasio,tractor,tractor,0,0
Russo,tractor,tractor,0,0
Minio,tractor,stan,1,0.333333
Bollani,stan,stan,0,0
Mosto,stan,stan,0,0
Seio,stan,stan,0,0
Rozeri,stan,stan,0,0
Marangon,tractor,tractor,0,0
Acotanto,tractor,tractor,0,0
Mozo,tractor,tractor,0,0
Bonoto,tractor,tractor,0,0
Dandolo,stan,stan,0,0
"di Burges",tractor,tractor,0,0
Tolonegi,stan,stan,0,0
Gritti,tractor,stan,1,0.5
Bianco,tractor,tractor,0,0
Spatario,stan,stan,0,0
Bartolomeo,stan,stan,0,0
"di Albiola",tractor,tractor,0,0
d'Ancontano,tractor,tractor,0,0
"da Ferraguto",tractor,tractor,0,0
"de Galletto",stan,stan,0,0
"da Vicenza",tractor,tractor,0,0
Ruzier,tractor,tractor,0,0
Loredan,tractor,tractor,0,0
Contarini,tractor,stan,3,0.333333
Valaresso,stan,stan,0,0
D'Equilo,tractor,tractor,0,0
Pesaro,stan,stan,0,0
Abriano,stan,stan,0,0
Foscolo,tractor,stan,1,0.5
"di Federico",stan,stan,0,0
Scutario,stan,stan,0,0
Vitturi,tractor,tractor,0,0
Donato,stan,stan,0,0
Lion,stan,stan,0,0
Benedetti,tractor,stan,1,0.5
Batello,tractor,tractor,0,0
Baro,tractor,tractor,0,0
Capello,stan,stan,0,0
Bredani,stan,stan,0,0
Simone,tractor,tractor,0,0
Querini,stan,tractor,1,0.333333
Ziani,stan,stan,0,0
Tomato,stan,stan,0,0
Navager,stan,stan,0,0
"Dalle Sevole",stan,stan,0,0
Istrigo,stan,stan,0,0
Simitecolo,tractor,tractor,0,0
Bonaldi,tractor,tractor,0,0
Pagan,tractor,tractor,0,0
Barbarigo,stan,tractor,1,0.058824
Cazzamonti,stan,stan,0,0
Boldu,tractor,tractor,0,0
Lombardo,tractor,tractor,0,0
Urso,tractor,stan,1,0.5
Marin,stan,stan,2,0.4
"da Trau",stan,stan,0,0
Katarino,tractor,tractor,0,0
Casolo,stan,stan,0,0
Copula,stan,stan,0,0
Straccivendolo,tractor,tractor,0,0
Savoner,stan,stan,0,0
Badoer,stan,stan,6,0.375
"de Iema",tractor,tractor,0,0
Soranzo,stan,tractor,3,0.25
Grego,stan,stan,0,0
Avenanzo,stan,stan,0,0
Bilongo,tractor,tractor,0,0
Alberto,stan,tractor,1,0.25
"di Loreo",stan,stan,0,0
Guido,tractor,stan,1,0.5
Bon,tractor,stan,1,0.2
"Bocca d'Uomo",tractor,tractor,0,0
Pentulo,tractor,stan,1,0.5
Boninsegna,tractor,stan,1,0.5
Malipiero,tractor,tractor,0,0
Muazzo,stan,stan,0,0
Corner,tractor,stan,9,0.5
Groscalco,stan,stan,0,0
Pigozo,tractor,tractor,0,0
Messeta,stan,stan,0,0
Darpin,stan,stan,0,0
Tron,tractor,stan,1,0.5
Balestrieri,stan,stan,0,0
Vidal,tractor,tractor,0,0
Maciacavallo,stan,stan,0,0
"di Troia",stan,stan,0,0
Zane,stan,stan,0,0
Orefice,stan,stan,0,0
"Da Mula",tractor,stan,1,0.25
Soria,stan,stan,0,0
Ardizon,stan,stan,0,0
Bembo,stan,tractor,1,0.2
Canal,stan,stan,2,0.333333
Squaglia,tractor,tractor,0,0
"de Albrigeto",tractor,tractor,0,0
"Da Fano",tractor,tractor,0,0
Rachovich,tractor,tractor,0,0
Speziale,stan,stan,0,0
"de Stolla",stan,stan,0,0
Sagredo,tractor,tractor,0,0
Banzon,tractor,tractor,0,0
Barbo,stan,tractor,1,0.090909
Morosini,tractor,stan,15,0.483871
"di Guazo",stan,stan,0,0
Marioni,stan,stan,0,0
Fel,tractor,stan,1,0.5
Martinazo,tractor,tractor,0,0
D'Avanzago,tractor,tractor,0,0
Balbi,stan,stan,0,0
Coppo,stan,tractor,1,0.5
Addoldo,stan,stan,0,0
Bozolino,tractor,tractor,0,0
Orio,tractor,tractor,0,0
Storladi,stan,stan,0,0
Zopolo,tractor,tractor,0,0
Dauro,stan,stan,0,0
Faccio,tractor,tractor,0,0
Marano,tractor,tractor,2,0.25
Caravello,stan,stan,0,0
"Dalla Fontana",stan,stan,0,0
Tebaldo,stan,stan,0,0
Bellono,stan,stan,0,0
Mussolino,tractor,tractor,0,0
Zusto,stan,stan,0,0
Grimani,stan,stan,0,0
Giustinian,stan,stan,0,0
Zeno,stan,stan,0,0
"de Rodanis da Cremona",stan,stan,0,0
Barberius,stan,stan,0,0
Villari,stan,stan,0,0
Barastro,stan,stan,2,0.5
Ghisi,stan,stan,2,0.5
Barbani,stan,stan,0,0
Sirano,tractor,tractor,0,0
Miani,tractor,tractor,0,0
Agadi,stan,stan,0,0
Marzulo,stan,stan,0,0
Mazaman,stan,stan,0,0
Arimondo,stan,stan,0,0
Manolesso,stan,stan,0,0
Morono,stan,stan,0,0
Curtolo,tractor,stan,1,0.333333
Moro,tractor,stan,1,0.333333
Biondo,tractor,tractor,0,0
Tagliapietra,stan,stan,0,0
Venier,tractor,tractor,6,0.428571
Veronese,stan,stan,0,0
